index,4607,B379,5D6D,7A6A,70A2,9BB4,95B4,9EB2,1102,CDCD,D987,2784,C8B6,DB64,3AF3,3AAB,689B,6F67,C9CF,36B8,5795,6C6B,B816,539B,A1B2,3231,8BC0,2288,3C5E,3.00E+60,BFF,D936,D681,2876,30C8,B843,B3A0,6531,4BDA,9D26,9B18,5D99,4F0,B796,85B4,C644,6999,63B6,A30B
27.0,38.0,38.0,30.0,39.0,32.0,26.0,30.0,33.0,38.0,26.0,24.0,35.0,28.0,36.0,29.0,37.0,35.0,35.0,39.0,39.0,27.0,23.0,33.0,22.0,21.0,20.0,31.0,22.0,20.0,23.0,30.0,36.0,33.0,29.0,25.0,27.0,37.0,29.0,27.0,30.0,29.0,29.0,29.0,37.0,25.0,36.0,29.0,25.0,39.0
28.0,35.0,30.0,30.0,20.0,23.0,20.0,25.0,26.0,29.0,36.0,33.0,23.0,39.0,24.0,25.0,36.0,33.0,38.0,38.0,36.0,35.0,25.0,37.0,29.0,33.0,36.0,32.0,37.0,35.0,32.0,38.0,24.0,34.0,29.0,27.0,29.0,28.0,22.0,35.0,28.0,36.0,38.0,23.0,37.0,29.0,38.0,25.0,22.0,34.0
37.0,28.0,25.0,38.0,32.0,20.0,31.0,30.0,29.0,25.0,29.0,23.0,37.0,29.0,29.0,25.0,39.0,35.0,20.0,22.0,37.0,31.0,31.0,26.0,20.0,31.0,28.0,25.0,28.0,39.0,26.0,37.0,24.0,25.0,27.0,22.0,27.0,32.0,28.0,20.0,33.0,30.0,26.0,31.0,20.0,35.0,34.0,20.0,27.0,26.0
38.0,31.0,21.0,27.0,24.0,32.0,29.0,38.0,25.0,29.0,28.0,33.0,39.0,28.0,29.0,35.0,37.0,38.0,37.0,30.0,33.0,21.0,37.0,25.0,35.0,21.0,25.0,23.0,26.0,20.0,21.0,27.0,38.0,38.0,37.0,21.0,50.0,34.0,26.0,31.0,31.0,25.0,30.0,28.0,26.0,38.0,31.0,26.0,37.0,32.0
26.0,35.0,31.0,20.0,21.0,39.0,30.0,28.0,35.0,23.0,25.0,24.0,24.0,32.0,22.0,38.0,29.0,26.0,24.0,21.0,27.0,35.0,36.0,22.0,26.0,36.0,32.0,29.0,29.0,38.0,33.0,36.0,22.0,26.0,31.0,37.0,34.0,26.0,35.0,34.0,22.0,21.0,25.0,24.0,27.0,33.0,22.0,24.0,20.0,26.0
36.0,32.0,33.0,37.0,36.0,39.0,38.0,23.0,30.0,29.0,28.0,28.0,30.0,34.0,35.0,39.0,38.0,36.0,33.0,36.0,37.0,24.0,21.0,32.0,30.0,20.0,37.0,30.0,21.0,32.0,21.0,20.0,22.0,29.0,36.0,30.0,25.0,33.0,38.0,35.0,24.0,33.0,32.0,20.0,23.0,23.0,39.0,25.0,27.0,33.0
29.0,21.0,39.0,29.0,25.0,29.0,34.0,34.0,33.0,27.0,27.0,24.0,25.0,23.0,27.0,29.0,24.0,27.0,24.0,32.0,28.0,24.0,21.0,23.0,37.0,22.0,33.0,29.0,32.0,38.0,24.0,35.0,32.0,20.0,37.0,27.0,28.0,38.0,31.0,38.0,26.0,39.0,26.0,31.0,35.0,38.0,34.0,29.0,34.0,36.0
26.0,26.0,26.0,35.0,25.0,26.0,32.0,27.0,20.0,37.0,36.0,33.0,39.0,23.0,21.0,27.0,30.0,24.0,28.0,25.0,24.0,29.0,23.0,20.0,32.0,36.0,21.0,31.0,38.0,24.0,24.0,20.0,23.0,20.0,29.0,30.0,27.0,29.0,22.0,34.0,21.0,39.0,27.0,24.0,30.0,29.0,35.0,27.0,32.0,25.0
21.0,23.0,21.0,39.0,33.0,31.0,39.0,22.0,25.0,38.0,32.0,28.0,28.0,21.0,32.0,39.0,25.0,29.0,31.0,29.0,36.0,24.0,24.0,25.0,26.0,31.0,29.0,29.0,37.0,38.0,28.0,27.0,38.0,36.0,21.0,33.0,24.0,34.0,29.0,39.0,35.0,28.0,25.0,24.0,22.0,37.0,34.0,33.0,25.0,34.0
20.0,39.0,27.0,25.0,26.0,27.0,33.0,24.0,24.0,27.0,22.0,24.0,39.0,37.0,34.0,34.0,21.0,35.0,37.0,37.0,26.0,29.0,24.0,39.0,22.0,27.0,35.0,29.0,28.0,27.0,21.0,22.0,30.0,24.0,29.0,27.0,32.0,29.0,34.0,33.0,33.0,33.0,28.0,29.0,22.0,32.0,27.0,31.0,29.0,35.0
27.0,32.0,21.0,39.0,33.0,27.0,30.0,39.0,20.0,32.0,21.0,33.0,37.0,25.0,31.0,28.0,36.0,39.0,21.0,27.0,29.0,26.0,21.0,20.0,22.0,38.0,30.0,22.0,30.0,34.0,26.0,22.0,28.0,20.0,25.0,33.0,26.0,37.0,31.0,27.0,37.0,22.0,27.0,38.0,29.0,25.0,39.0,28.0,23.0,30.0
39.0,21.0,29.0,33.0,21.0,29.0,26.0,23.0,39.0,26.0,29.0,37.0,30.0,39.0,31.0,24.0,22.0,31.0,34.0,20.0,37.0,37.0,21.0,21.0,24.0,26.0,23.0,30.0,37.0,34.0,31.0,25.0,24.0,33.0,31.0,38.0,36.0,38.0,28.0,29.0,29.0,29.0,28.0,39.0,20.0,36.0,27.0,20.0,22.0,20.0
21.0,29.0,22.0,36.0,25.0,21.0,23.0,22.0,20.0,27.0,22.0,20.0,29.0,37.0,29.0,36.0,37.0,29.0,35.0,21.0,32.0,30.0,37.0,29.0,22.0,30.0,28.0,25.0,20.0,29.0,37.0,31.0,23.0,38.0,20.0,27.0,30.0,29.0,31.0,32.0,33.0,31.0,28.0,21.0,35.0,31.0,33.0,21.0,25.0,22.0
28.0,35.0,30.0,32.0,38.0,20.0,23.0,27.0,38.0,33.0,21.0,21.0,23.0,27.0,38.0,20.0,32.0,20.0,21.0,32.0,34.0,26.0,34.0,36.0,20.0,36.0,36.0,24.0,20.0,37.0,31.0,24.0,25.0,24.0,20.0,30.0,29.0,38.0,38.0,24.0,32.0,22.0,35.0,33.0,25.0,38.0,23.0,32.0,21.0,24.0
32.0,32.0,25.0,34.0,35.0,33.0,27.0,28.0,39.0,21.0,31.0,27.0,32.0,20.0,31.0,28.0,25.0,22.0,24.0,31.0,30.0,38.0,20.0,35.0,31.0,36.0,33.0,26.0,21.0,38.0,38.0,22.0,30.0,24.0,21.0,29.0,20.0,22.0,38.0,20.0,28.0,26.0,33.0,24.0,30.0,34.0,25.0,30.0,27.0,39.0
21.0,21.0,36.0,29.0,35.0,27.0,38.0,23.0,36.0,30.0,38.0,30.0,28.0,24.0,29.0,36.0,31.0,34.0,28.0,27.0,32.0,35.0,28.0,32.0,25.0,32.0,37.0,29.0,32.0,25.0,33.0,27.0,37.0,21.0,27.0,29.0,35.0,22.0,22.0,37.0,28.0,31.0,34.0,31.0,23.0,36.0,24.0,28.0,23.0,28.0
28.0,25.0,37.0,39.0,22.0,31.0,33.0,29.0,27.0,23.0,28.0,23.0,26.0,31.0,29.0,36.0,29.0,39.0,31.0,39.0,34.0,38.0,20.0,34.0,37.0,30.0,24.0,22.0,27.0,35.0,31.0,27.0,37.0,31.0,29.0,21.0,27.0,38.0,22.0,36.0,38.0,34.0,34.0,20.0,31.0,25.0,28.0,39.0,33.0,30.0
25.0,38.0,26.0,22.0,24.0,31.0,26.0,23.0,36.0,20.0,25.0,25.0,36.0,20.0,23.0,35.0,37.0,33.0,22.0,23.0,34.0,27.0,34.0,33.0,29.0,31.0,39.0,32.0,21.0,22.0,35.0,29.0,35.0,30.0,29.0,39.0,30.0,29.0,36.0,35.0,29.0,24.0,29.0,36.0,25.0,35.0,26.0,22.0,32.0,23.0
38.0,26.0,31.0,21.0,39.0,23.0,21.0,28.0,38.0,38.0,36.0,35.0,23.0,26.0,35.0,25.0,39.0,29.0,34.0,27.0,31.0,22.0,37.0,23.0,39.0,30.0,27.0,29.0,39.0,29.0,29.0,35.0,37.0,35.0,23.0,22.0,21.0,29.0,35.0,29.0,36.0,34.0,23.0,26.0,23.0,31.0,35.0,31.0,21.0,22.0
27.0,26.0,28.0,29.0,35.0,25.0,20.0,37.0,29.0,32.0,35.0,29.0,20.0,37.0,20.0,35.0,23.0,27.0,27.0,35.0,38.0,21.0,26.0,22.0,37.0,31.0,29.0,33.0,38.0,38.0,28.0,31.0,39.0,20.0,31.0,30.0,20.0,34.0,34.0,36.0,32.0,29.0,36.0,23.0,24.0,20.0,21.0,29.0,33.0,28.0
35.0,28.0,22.0,36.0,30.0,28.0,26.0,36.0,25.0,21.0,20.0,32.0,24.0,32.0,37.0,36.0,34.0,25.0,37.0,25.0,35.0,21.0,30.0,36.0,30.0,20.0,22.0,21.0,36.0,28.0,36.0,38.0,33.0,29.0,21.0,31.0,25.0,20.0,23.0,38.0,31.0,32.0,37.0,28.0,23.0,36.0,21.0,25.0,23.0,31.0
35.0,39.0,20.0,35.0,21.0,31.0,32.0,22.0,30.0,22.0,30.0,34.0,34.0,37.0,29.0,34.0,33.0,39.0,29.0,32.0,32.0,34.0,24.0,33.0,24.0,39.0,36.0,33.0,21.0,26.0,21.0,34.0,25.0,37.0,29.0,33.0,22.0,36.0,25.0,21.0,33.0,32.0,36.0,27.0,36.0,22.0,36.0,21.0,32.0,21.0
37.0,36.0,21.0,28.0,22.0,25.0,24.0,38.0,33.0,30.0,29.0,38.0,20.0,34.0,21.0,26.0,31.0,31.0,21.0,22.0,22.0,37.0,25.0,36.0,30.0,27.0,34.0,30.0,28.0,24.0,23.0,35.0,26.0,20.0,24.0,30.0,29.0,29.0,34.0,22.0,38.0,34.0,24.0,24.0,37.0,29.0,37.0,37.0,33.0,33.0
30.0,20.0,27.0,37.0,27.0,31.0,29.0,21.0,38.0,29.0,39.0,34.0,26.0,27.0,36.0,27.0,22.0,29.0,25.0,25.0,20.0,28.0,23.0,38.0,36.0,33.0,38.0,20.0,33.0,23.0,29.0,28.0,30.0,37.0,21.0,39.0,39.0,35.0,31.0,34.0,31.0,26.0,36.0,24.0,30.0,39.0,20.0,30.0,36.0,37.0
38.0,39.0,29.0,36.0,26.0,22.0,38.0,23.0,30.0,28.0,30.0,31.0,23.0,28.0,34.0,29.0,29.0,34.0,25.0,31.0,28.0,27.0,20.0,22.0,27.0,31.0,37.0,29.0,31.0,31.0,25.0,29.0,21.0,29.0,39.0,34.0,38.0,24.0,25.0,34.0,39.0,32.0,22.0,28.0,25.0,28.0,27.0,22.0,33.0,32.0
39.0,33.0,24.0,34.0,36.0,34.0,20.0,36.0,35.0,35.0,29.0,28.0,28.0,34.0,28.0,39.0,39.0,24.0,31.0,29.0,29.0,36.0,30.0,28.0,37.0,21.0,26.0,23.0,21.0,38.0,38.0,26.0,31.0,35.0,25.0,27.0,34.0,26.0,28.0,30.0,28.0,26.0,34.0,29.0,34.0,20.0,31.0,32.0,28.0,29.0
33.0,35.0,34.0,24.0,24.0,35.0,27.0,23.0,22.0,24.0,31.0,25.0,29.0,34.0,50.0,39.0,20.0,22.0,22.0,37.0,31.0,33.0,31.0,38.0,21.0,39.0,28.0,22.0,37.0,26.0,23.0,31.0,30.0,26.0,38.0,28.0,23.0,26.0,21.0,29.0,32.0,29.0,29.0,30.0,26.0,33.0,29.0,33.0,21.0,20.0
30.0,29.0,29.0,28.0,28.0,23.0,27.0,25.0,26.0,21.0,38.0,22.0,27.0,20.0,35.0,38.0,30.0,30.0,30.0,27.0,39.0,29.0,27.0,31.0,27.0,38.0,21.0,36.0,21.0,25.0,20.0,27.0,32.0,28.0,34.0,27.0,35.0,38.0,35.0,27.0,39.0,33.0,28.0,35.0,21.0,34.0,25.0,23.0,27.0,20.0
33.0,30.0,25.0,38.0,25.0,29.0,33.0,38.0,32.0,36.0,22.0,37.0,21.0,23.0,24.0,33.0,26.0,20.0,30.0,31.0,30.0,27.0,33.0,32.0,25.0,32.0,31.0,36.0,37.0,38.0,25.0,33.0,31.0,22.0,36.0,38.0,28.0,31.0,26.0,22.0,26.0,39.0,21.0,22.0,34.0,26.0,32.0,33.0,20.0,30.0
39.0,28.0,31.0,29.0,36.0,34.0,31.0,32.0,35.0,31.0,27.0,35.0,37.0,29.0,31.0,26.0,32.0,36.0,21.0,21.0,31.0,36.0,37.0,25.0,25.0,27.0,38.0,39.0,35.0,37.0,38.0,27.0,22.0,34.0,25.0,28.0,25.0,36.0,38.0,21.0,25.0,21.0,37.0,21.0,39.0,38.0,21.0,39.0,32.0,38.0
37.0,34.0,32.0,31.0,38.0,32.0,27.0,20.0,33.0,24.0,23.0,29.0,25.0,22.0,27.0,36.0,34.0,25.0,37.0,24.0,31.0,26.0,23.0,39.0,35.0,39.0,26.0,27.0,28.0,37.0,25.0,31.0,27.0,34.0,23.0,28.0,36.0,27.0,39.0,31.0,32.0,36.0,20.0,32.0,29.0,28.0,31.0,29.0,24.0,21.0
29.0,38.0,22.0,26.0,30.0,30.0,31.0,36.0,39.0,34.0,24.0,20.0,39.0,27.0,26.0,28.0,32.0,33.0,33.0,25.0,21.0,33.0,20.0,33.0,33.0,27.0,29.0,28.0,33.0,22.0,29.0,34.0,37.0,36.0,39.0,23.0,22.0,22.0,26.0,38.0,34.0,22.0,21.0,20.0,30.0,24.0,26.0,22.0,27.0,31.0
26.0,23.0,27.0,32.0,32.0,30.0,34.0,25.0,24.0,27.0,37.0,39.0,37.0,37.0,30.0,29.0,21.0,28.0,34.0,21.0,38.0,24.0,22.0,34.0,35.0,29.0,23.0,26.0,29.0,20.0,39.0,38.0,34.0,24.0,32.0,22.0,33.0,31.0,27.0,21.0,28.0,26.0,26.0,35.0,29.0,25.0,24.0,29.0,24.0,28.0
