sepal length,sepal width,petal length,petal width,label,Extra_Feature_1,Extra_Feature_2,Extra_Feature_3,Extra_Feature_4,Extra_Feature_5,Extra_Feature_6,Extra_Feature_7,Extra_Feature_8,Extra_Feature_9,Extra_Feature_10,Extra_Feature_11,Extra_Feature_12,Extra_Feature_13,Extra_Feature_14,Extra_Feature_15,Extra_Feature_16,Extra_Feature_17,Extra_Feature_18,Extra_Feature_19,Extra_Feature_20,Extra_Feature_21,Extra_Feature_22,Extra_Feature_23,Extra_Feature_24,Extra_Feature_25,Extra_Feature_26,Extra_Feature_27,Extra_Feature_28,Extra_Feature_29,Extra_Feature_30,Extra_Feature_31,Extra_Feature_32,Extra_Feature_33,Extra_Feature_34,Extra_Feature_35,Extra_Feature_36,Extra_Feature_37,Extra_Feature_38,Extra_Feature_39,Extra_Feature_40,Extra_Feature_41,Extra_Feature_42,Extra_Feature_43,Extra_Feature_44,Extra_Feature_45
1.6,0.2,5.0,3.5,1.3,0.3,5.3,3.7,1.5,0.3,5.4,3.9,1.5,0.4,4.4,3.0,1.3,0.2,5.0,3.5,1.3,0.3,4.5,2.4,1.3,0.3,4.5,2.3,1.3,0.3,4.7,3.2,1.3,0.2,4.9,3.0,1.5,0.2,5.3,3.5,1.3,0.2,4.8,3.0,1.5,0.3,5.5,4.2,1.5,0.2
4.4,2.6,1.3,0.2,5.0,3.4,1.5,0.2,5.0,3.4,1.5,0.2,4.6,3.1,1.5,0.2,5.1,3.5,1.5,0.3,5.2,3.5,1.5,0.2,5.0,3.5,1.3,0.3,4.9,3.1,1.5,0.1,4.9,3.5,1.3,0.2,4.4,2.9,1.5,0.2,5.1,3.5,1.5,0.3,5.4,4.2,1.5,0.1,4.9,3.0
1.5,0.3,5.0,3.5,1.5,0.5,5.1,3.8,1.5,0.3,5.0,3.5,1.6,0.6,5.0,3.4,1.5,0.2,4.9,3.4,1.8,0.2,5.1,3.3,1.6,0.4,4.6,3.5,1.1,0.2,5.0,3.6,1.5,0.2,5.3,3.8,1.5,0.4,5.1,3.5,1.5,0.2,5.1,3.4,1.5,0.2,5.5,4.2,1.5,0.2
5.3,3.9,1.6,0.4,4.9,3.4,1.8,0.3,5.2,3.4,1.5,0.2,4.6,2.5,1.3,0.3,4.9,3.1,1.5,0.1,4.9,3.0,1.5,0.2,4.8,3.4,1.6,0.2,5.7,3.8,1.6,0.3,4.4,3.2,1.3,0.2,4.9,3.1,1.5,0.1,4.9,3.1,1.5,0.1,5.1,3.4,1.5,0.2,5.1,3.5
1.5,0.3,5.4,3.4,1.5,0.3,4.9,3.5,1.3,0.3,4.9,3.1,1.5,0.1,4.8,3.1,1.6,0.2,4.7,3.4,1.5,0.3,5.1,3.8,1.5,0.3,5.0,3.4,1.5,0.2,4.9,3.1,1.5,0.1,4.9,3.1,1.5,0.1,4.7,3.5,1.3,0.2,5.1,3.5,1.5,0.4,5.3,4.0,1.5,0.1
5.7,3.8,1.6,0.3,5.3,3.9,1.3,0.4,5.4,4.0,1.6,0.4,5.1,3.5,1.5,0.3,4.9,3.2,1.3,0.2,4.4,3.2,1.3,0.2,4.4,3.0,1.3,0.2,4.6,3.5,1.3,0.3,5.0,3.6,1.5,0.2,4.9,3.1,1.5,0.1,5.1,3.3,1.6,0.4,5.4,3.4,1.5,0.4,5.0,3.4
1.6,0.5,4.8,3.4,1.6,0.2,5.0,3.6,1.5,0.2,4.9,3.1,1.5,0.1,5.0,3.5,1.3,0.3,4.6,2.5,1.3,0.3,4.9,3.6,1.3,0.2,5.2,3.5,1.5,0.2,4.4,3.1,1.3,0.2,4.9,3.0,1.5,0.2,5.1,3.5,1.5,0.2,5.3,3.7,1.5,0.2,4.7,3.2,1.6,0.2
5.0,3.5,1.5,0.5,5.1,3.4,1.5,0.2,4.7,3.4,1.5,0.3,5.1,3.7,1.5,0.4,4.8,3.1,1.6,0.2,5.1,3.8,1.6,0.3,4.7,3.6,1.1,0.2,5.3,3.9,1.6,0.3,4.9,3.0,1.5,0.2,5.0,3.5,1.6,0.6,4.8,3.1,1.5,0.2,5.4,3.9,1.6,0.4,5.0,3.6
1.5,0.2,4.8,3.0,1.5,0.1,5.5,4.3,1.5,0.3,4.7,3.2,1.5,0.2,4.9,3.1,1.5,0.1,4.9,3.6,1.3,0.2,5.0,3.4,1.5,0.2,4.5,2.9,1.5,0.1,4.9,3.1,1.6,0.2,4.9,3.1,1.5,0.1,4.8,3.0,1.5,0.2,5.6,3.8,1.6,0.4,5.1,3.4,1.5,0.2
5.0,3.6,1.5,0.2,4.9,3.1,1.5,0.1,5.0,3.4,1.5,0.2,5.1,3.6,1.5,0.2,5.3,3.4,1.5,0.3,5.3,3.4,1.6,0.2,5.2,3.5,1.5,0.2,5.1,3.8,1.6,0.2,5.4,3.4,1.6,0.2,5.2,3.7,1.8,0.3,5.3,3.7,1.5,0.2,5.1,3.5,1.5,0.2,4.9,3.1
1.5,0.1,4.9,3.1,1.5,0.1,4.4,3.1,1.1,0.1,5.1,3.8,1.6,0.4,4.9,3.1,1.5,0.1,4.7,3.2,1.3,0.2,5.0,3.0,1.6,0.2,4.8,3.0,1.3,0.1,4.8,3.4,1.6,0.2,5.2,4.1,1.5,0.1,4.8,3.4,1.6,0.2,5.3,3.4,1.3,0.2,5.0,3.3,1.3,0.2
5.0,3.4,1.5,0.2,4.7,3.2,1.3,0.2,5.1,3.5,1.5,0.3,4.8,3.0,1.5,0.1,5.1,3.5,1.5,0.3,5.4,3.4,1.5,0.4,4.4,3.1,1.1,0.1,5.0,3.4,1.5,0.2,5.2,3.7,1.5,0.3,5.0,3.5,1.5,0.5,4.9,3.1,1.5,0.1,4.9,3.4,1.5,0.2,4.8,3.4
1.6,0.2,5.5,3.7,1.6,0.3,5.2,3.7,1.5,0.2,4.7,3.2,1.3,0.2,5.1,3.7,1.6,0.4,5.1,3.5,1.5,0.2,4.4,3.0,1.3,0.1,5.0,3.5,1.3,0.3,4.9,3.1,1.5,0.1,5.1,3.5,1.5,0.2,5.7,4.4,1.5,0.4,4.9,3.1,1.5,0.1,4.5,2.9,1.5,0.2
5.1,3.8,1.8,0.4,4.9,3.4,1.6,0.2,4.9,3.0,1.5,0.2,5.0,3.3,1.5,0.2,4.4,3.0,1.1,0.1,5.1,3.5,1.5,0.2,5.0,3.2,1.3,0.2,5.1,3.5,1.3,0.2,5.1,3.5,1.5,0.2,4.8,3.1,1.6,0.2,4.7,3.5,1.3,0.2,5.1,3.8,1.5,0.3,5.5,4.2
1.5,0.2,4.8,3.4,1.8,0.2,5.6,4.4,1.5,0.4,4.9,3.1,1.5,0.1,4.9,3.4,1.5,0.2,5.0,3.4,1.5,0.2,5.1,3.7,1.5,0.3,4.9,3.1,1.5,0.1,4.9,3.1,1.5,0.1,5.3,3.9,1.6,0.3,5.4,3.4,1.6,0.2,4.9,3.1,1.5,0.1,4.9,3.0,1.5,0.3
5.4,2.4,3.6,1.1,5.8,2.7,3.9,1.2,5.7,3.0,4.5,1.4,5.3,2.5,3.4,1.2,5.7,3.0,3.9,1.3,5.4,2.3,3.9,1.3,5.3,2.4,3.6,1.1,5.9,3.2,4.8,1.8,6.3,2.3,4.5,1.3,5.3,2.2,3.8,1.2,5.7,2.8,4.1,1.3,4.9,2.4,3.2,1.0,5.5,3.0
4.5,1.5,5.6,3.0,4.5,1.4,5.3,2.7,3.9,1.4,6.2,2.9,4.6,1.4,5.0,2.1,3.4,1.0,6.1,3.0,4.6,1.4,6.2,3.0,4.5,1.4,5.8,3.0,4.3,1.5,6.5,2.9,4.5,1.3,5.5,2.4,3.9,1.1,5.1,2.5,3.1,1.1,6.7,3.1,4.5,1.4,5.7,3.0,4.1,1.2
6.8,3.1,4.6,1.4,4.9,2.4,3.2,1.0,5.7,2.5,3.9,1.3,5.4,3.0,4.5,1.5,6.2,2.8,4.5,1.3,5.7,3.0,4.5,1.4,5.8,2.8,4.1,1.3,5.8,2.6,3.9,1.2,5.6,2.5,3.9,1.1,6.1,2.8,3.9,1.3,5.7,2.8,4.1,1.3,6.4,2.9,4.3,1.4,6.2,2.9
4.3,1.3,6.9,3.1,5.0,1.5,6.3,3.3,4.6,1.6,5.9,3.1,4.5,1.7,5.5,2.4,3.9,1.1,6.2,2.2,4.5,1.5,5.6,2.6,4.3,1.2,5.8,2.3,4.1,1.3,5.6,2.5,3.8,1.0,6.7,3.0,5.0,1.7,6.7,3.1,4.6,1.5,5.6,3.0,4.5,1.5,6.1,2.9,4.5,1.4
5.6,3.0,4.5,1.5,5.7,2.8,4.3,1.3,5.8,2.7,3.9,1.2,5.7,2.8,4.5,1.3,5.5,2.4,3.8,1.1,6.1,2.9,4.6,1.4,6.3,3.3,4.6,1.6,5.8,3.0,4.3,1.5,5.8,3.0,4.3,1.4,6.8,3.1,4.8,1.5,6.3,2.4,4.8,1.5,5.9,3.2,4.8,1.8,6.7,3.1
4.5,1.4,5.6,3.0,4.5,1.5,5.7,2.8,4.5,1.3,5.6,3.0,4.1,1.3,5.7,2.3,3.9,1.2,5.7,3.0,4.1,1.3,6.1,2.9,4.6,1.4,5.9,3.1,4.3,1.5,5.5,2.4,3.8,1.1,5.1,2.1,3.6,1.0,5.3,2.4,3.6,1.0,6.5,2.9,4.5,1.3,5.7,2.7,4.1,1.3
5.4,2.4,3.8,1.1,6.1,2.8,4.6,1.2,6.2,2.8,4.5,1.3,5.8,2.8,3.9,1.3,6.8,2.8,4.8,1.4,5.4,3.0,4.5,1.4,6.0,2.2,4.1,1.1,6.1,2.9,4.8,1.4,5.4,3.0,4.5,1.5,5.6,3.0,3.8,1.3,6.5,2.8,4.6,1.4,6.0,2.9,4.5,1.5,6.5,2.8
4.6,1.4,6.1,3.0,4.6,1.4,5.6,3.0,4.1,1.3,6.4,3.2,4.5,1.5,6.0,2.7,5.2,1.6,5.7,2.8,4.1,1.3,6.8,2.8,4.8,1.4,5.8,2.6,3.8,1.1,5.8,2.6,3.9,1.2,6.3,2.5,4.8,1.5,5.8,2.6,4.1,1.2,5.5,2.5,3.9,1.3,6.1,2.9,4.6,1.4
6.5,2.8,4.6,1.5,6.3,2.3,4.5,1.3,6.6,2.9,4.6,1.3,5.6,3.0,4.5,1.5,5.5,2.5,3.9,1.3,6.7,3.1,4.6,1.5,5.5,2.4,3.8,1.0,6.9,3.1,4.8,1.5,5.3,2.5,3.4,1.2,6.2,3.0,4.5,1.4,5.9,3.2,4.8,1.8,5.6,2.5,3.9,1.1,5.5,2.4
3.8,1.0,5.5,2.5,4.3,1.3,5.6,3.0,4.1,1.3,5.8,2.6,3.8,1.1,6.3,3.3,4.6,1.6,6.0,3.2,4.8,1.7,5.8,2.7,4.1,1.0,5.7,2.9,3.8,1.3,6.1,2.2,4.1,1.2,5.8,2.7,3.9,1.2,6.8,3.1,4.8,1.5,5.6,3.0,4.1,1.4,6.1,2.9,4.6,1.4
5.0,2.3,3.2,1.0,5.8,2.6,3.9,1.1,6.6,2.9,4.6,1.4,5.5,2.6,4.5,1.2,6.8,3.1,4.6,1.4,5.6,2.9,3.6,1.3,5.8,2.3,4.1,1.3,5.8,2.7,3.9,1.0,6.2,2.9,4.3,1.3,5.7,3.0,4.1,1.3,6.0,2.2,4.1,1.1,6.7,3.1,4.5,1.4,5.5,3.0
4.3,1.4,5.8,3.0,4.3,1.5,6.0,2.9,4.3,1.4,5.8,2.8,3.8,1.3,7.0,3.2,4.6,1.4,5.7,2.7,4.1,1.3,6.1,2.9,4.6,1.4,5.0,2.4,3.4,1.0,5.5,2.4,3.8,1.1,4.9,2.4,3.2,1.0,6.4,2.9,4.3,1.4,5.8,2.7,3.9,1.2,5.4,3.0,4.5,1.5
5.7,2.9,4.3,1.3,5.7,2.9,4.1,1.3,5.5,2.6,4.5,1.2,6.7,3.0,5.0,1.7,5.7,2.7,4.1,1.3,5.6,2.9,3.8,1.3,5.8,2.6,3.6,1.0,5.8,2.7,4.1,1.0,5.5,3.0,4.3,1.4,5.8,2.7,3.9,1.2,6.2,2.9,4.3,1.3,5.8,2.6,3.9,1.1,6.0,2.9
4.5,1.4,6.8,3.1,4.6,1.4,7.0,3.2,4.8,1.4,6.1,2.8,4.6,1.2,6.1,2.3,4.3,1.3,5.4,3.0,4.5,1.5,6.1,3.0,4.6,1.4,6.3,2.2,4.5,1.4,6.9,3.2,4.6,1.4,6.4,2.6,4.8,1.5,5.6,2.5,3.6,1.0,5.2,2.4,3.6,1.0,5.0,2.0,3.6,1.0
6.1,2.9,4.8,1.4,5.9,3.2,4.8,1.8,6.1,2.8,4.1,1.4,5.5,2.4,3.6,1.0,6.5,2.8,4.6,1.5,5.7,3.1,4.6,1.7,5.8,2.6,3.9,1.1,5.3,2.7,3.9,1.4,6.6,3.1,4.6,1.5,6.1,2.8,4.8,1.5,5.8,2.8,3.9,1.3,5.6,3.0,4.3,1.4,6.9,3.1
4.8,1.4,5.6,2.9,3.6,1.3,6.0,3.4,4.5,1.6,5.6,2.4,3.8,1.0,6.0,2.9,4.6,1.5,6.1,2.9,4.6,1.4,6.5,3.1,4.6,1.5,5.6,3.0,4.1,1.3,6.2,2.9,4.3,1.4,5.7,2.9,4.3,1.4,5.7,2.7,4.1,1.2,6.3,3.3,4.6,1.6,6.0,2.3,4.3,1.3
6.8,3.0,5.0,1.7,6.5,2.8,4.6,1.5,5.8,3.0,4.3,1.4,6.0,2.9,4.5,1.4,5.7,2.9,4.1,1.3,6.0,3.2,4.8,1.7,6.4,2.8,4.5,1.4,5.5,2.4,3.9,1.2,5.3,2.2,3.6,1.0,6.0,3.4,4.5,1.6,5.8,2.6,4.1,1.2,5.8,2.6,3.8,1.1,5.7,3.0
4.1,1.3,6.1,2.8,4.1,1.3,5.6,2.3,3.9,1.3,6.3,2.9,4.3,1.3,5.7,2.7,4.1,1.3,5.9,3.0,4.3,1.5,6.2,2.2,4.5,1.5,5.4,2.4,3.6,1.0,6.8,3.1,4.6,1.4,5.9,3.0,4.3,1.5,5.6,2.5,3.9,1.1,5.7,2.7,4.1,1.3,6.7,3.0,5.0,1.7
5.8,3.0,4.1,1.4,6.5,2.8,4.6,1.5,5.7,2.7,4.1,1.3,5.9,3.2,4.8,1.7,5.6,3.0,4.5,1.5,5.5,3.0,4.5,1.5,6.1,2.8,4.1,1.3,5.6,3.0,4.1,1.3,5.2,2.3,3.4,1.0,6.7,3.1,4.6,1.5,5.7,2.9,4.1,1.3,6.7,3.1,4.6,1.5,5.6,3.0
4.5,1.5,5.5,2.4,3.8,1.1,5.8,2.6,3.8,1.0,5.7,2.9,4.1,1.3,5.6,3.0,4.5,1.5,5.4,2.4,3.8,1.1,5.7,2.7,4.1,1.3,5.7,2.6,3.6,1.0,6.7,3.0,5.0,1.7,6.8,3.1,4.8,1.5,4.9,2.4,3.2,1.0,5.6,2.5,3.8,1.0,6.2,3.0,4.5,1.4
5.3,2.4,3.4,1.1,6.7,3.1,4.6,1.4,6.3,2.3,4.6,1.5,5.7,2.9,4.1,1.3,5.6,3.0,4.5,1.5,6.8,3.1,4.8,1.5,5.7,2.9,4.3,1.3,5.4,3.0,4.5,1.5,6.2,3.0,4.5,1.4,6.7,3.1,4.6,1.5,6.2,2.2,4.5,1.5,6.1,3.0,4.5,1.4,6.1,2.9
